Protocol,Full URL,Encoding Used,Embedded Variables, Found in File
"xbox","xbox://givegamepass","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://handheld","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://home/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://installs","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://joinXCloudGame","Unicode","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\XboxGameBarWidgets.exe"
"xbox","xbox://joinXCloudGame?titleId=123","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://launch?type={launchtype}","UTF-8","True","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://launch?type=composemessage&xuid=2533274985346550","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://launch?type=gameprofile&titleid=85494077","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://launch?type=profile","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
